gene_name,gene_ensembl_ID,iso_ensembl_ID
MT-ND1,ENSCAFG00000022713.1,ENSCAFT00000034820.1
MT-ND2,ENSCAFG00000022717.1,ENSCAFT00000034824.1
MT-CO1,ENSCAFG00000022723.1,ENSCAFT00000034830.1
MT-CO2,ENSCAFG00000022726.1,ENSCAFT00000034833.1
MT-ATP8,ENSCAFG00000022728.1,ENSCAFT00000034835.1
MT-ATP6,ENSCAFG00000022729.1,ENSCAFT00000034836.1
COX3,ENSCAFG00000022730.1,ENSCAFT00000034837.1
MT-ND3,ENSCAFG00000022732.2,ENSCAFT00000034839.2
ND4L,ENSCAFG00000022734.1,ENSCAFT00000034841.1
ND4,ENSCAFG00000022735.1,ENSCAFT00000034842.1
ND5,ENSCAFG00000022739.1,ENSCAFT00000034846.1
ND6,ENSCAFG00000022740.1,ENSCAFT00000034847.1
MT-CYB,ENSCAFG00000022742.1,ENSCAFT00000034849.1
ENSCAFG00000024085-a-3,ENSCAFG00000024085.3,ENSCAFT00000037289.3
NKPD1,ENSCAFG00000004558.4,ENSCAFT00000007333.4
GEMIN7,ENSCAFG00000004570.1,ENSCAFT00000007368.1
ZNF285,ENSCAFG00000031289.1,ENSCAFT00000047577.1
ENSCAFG00000028985-a-1,ENSCAFG00000028985.1,ENSCAFT00000043616.1
ENSCAFG00000028693-a-1,ENSCAFG00000028693.1,ENSCAFT00000043128.1
ENSCAFG00000031247-a-1,ENSCAFG00000031247.1,ENSCAFT00000047508.1
ZNF526,ENSCAFG00000004891.3,ENSCAFT00000007866.3
ENSCAFG00000029364-a-1,ENSCAFG00000029364.1,ENSCAFT00000044291.1
SERTAD3,ENSCAFG00000005340.3,ENSCAFT00000008597.3
SERTAD1,ENSCAFG00000005345.3,ENSCAFT00000008608.3
ENSCAFG00000005434-a-3,ENSCAFG00000005434.3,ENSCAFT00000008740.3
EID2,ENSCAFG00000005436.4,ENSCAFT00000008741.4
ENSCAFG00000029272-a-1,ENSCAFG00000029272.1,ENSCAFT00000044126.1
ENSCAFG00000028805-a-1,ENSCAFG00000028805.1,ENSCAFT00000043337.1
ZNF260,ENSCAFG00000029492.1,ENSCAFT00000044521.1
ZNF146,ENSCAFG00000031807.1,ENSCAFT00000048484.1
ENSCAFG00000006683-a-3,ENSCAFG00000006683.3,ENSCAFT00000010760.3
ENSCAFG00000031223-a-1,ENSCAFG00000031223.1,ENSCAFT00000047478.1
ENSCAFG00000030207-a-1,ENSCAFG00000030207.1,ENSCAFT00000045771.1
FFAR2,ENSCAFG00000007027.2,ENSCAFT00000011263.2
FFAR1,ENSCAFG00000007032.3,ENSCAFT00000011273.3
ENSCAFG00000032737-a-1,ENSCAFG00000032737.1,ENSCAFT00000050171.1
ENSCAFG00000029902-a-1,ENSCAFG00000029902.1,ENSCAFT00000045270.1
ENSCAFG00000030833-a-1,ENSCAFG00000030833.1,ENSCAFT00000046812.1
CEBPG,ENSCAFG00000007405.1,ENSCAFT00000011864.1
RGS9BP,ENSCAFG00000007509.4,ENSCAFT00000012026.4
PLEKHF1,ENSCAFG00000007627.3,ENSCAFT00000012193.3
ENSCAFG00000028924-a-1,ENSCAFG00000028924.1,ENSCAFT00000043517.1
TAAR4,ENSCAFG00000030901.1,ENSCAFT00000046936.1
TAAR5,ENSCAFG00000000187.3,ENSCAFT00000000296.3
ENSCAFG00000025552-a-2,ENSCAFG00000025552.2,ENSCAFT00000039768.2
UTS2R,ENSCAFG00000012945.3,ENSCAFT00000039626.2
ENSCAFG00000017604-a-2,ENSCAFG00000017604.2,ENSCAFT00000027911.2
ENSCAFG00000025557-a-2,ENSCAFG00000025557.2,ENSCAFT00000004355.3
ENSCAFG00000006614-a-3,ENSCAFG00000006614.3,ENSCAFT00000010660.3
ENSCAFG00000029397-a-1,ENSCAFG00000029397.1,ENSCAFT00000044355.1
C10orf71,ENSCAFG00000028751.1,ENSCAFT00000043243.1
ENSCAFG00000030265-a-1,ENSCAFG00000030265.1,ENSCAFT00000045867.1
SLC18A3,ENSCAFG00000006630.3,ENSCAFT00000010679.3
OR13A1,ENSCAFG00000006967.3,ENSCAFT00000038923.2
ENSCAFG00000025080-a-2,ENSCAFG00000025080.2,ENSCAFT00000038854.2
C10orf10,ENSCAFG00000007018.2,ENSCAFT00000011244.2
ENSCAFG00000028829-a-1,ENSCAFG00000028829.1,ENSCAFT00000020092.3
IFGGB1,ENSCAFG00000012657.3,ENSCAFT00000020089.3
ENSCAFG00000028671-a-1,ENSCAFG00000028671.1,ENSCAFT00000036967.2
IFGGC1,ENSCAFG00000000502.3,ENSCAFT00000036952.2
ENSCAFG00000006218-a-3,ENSCAFG00000006218.3,ENSCAFT00000010044.3
ENSCAFG00000014407-a-3,ENSCAFG00000014407.3,ENSCAFT00000022905.3
ENSCAFG00000000494-a-3,ENSCAFG00000000494.3,ENSCAFT00000000780.3
ENSCAFG00000030470-a-1,ENSCAFG00000030470.1,ENSCAFT00000010047.3
ENSCAFG00000030378-a-1,ENSCAFG00000030378.1,ENSCAFT00000046025.1
ZFP2,ENSCAFG00000031084.1,ENSCAFT00000047228.1
ENSCAFG00000006221-a-3,ENSCAFG00000006221.3,ENSCAFT00000010048.3
ENSCAFG00000000271-a-3,ENSCAFG00000000271.3,ENSCAFT00000000425.3
ENSCAFG00000031874-a-1,ENSCAFG00000031874.1,ENSCAFT00000037150.2
ENSCAFG00000032001-a-1,ENSCAFG00000032001.1,ENSCAFT00000048799.1
ENSCAFG00000000262-a-3,ENSCAFG00000000262.3,ENSCAFT00000000417.3
OR52B6,ENSCAFG00000006226.3,ENSCAFT00000010055.3
RPA3,ENSCAFG00000000261.3,ENSCAFT00000000410.3
ENSCAFG00000029611-a-1,ENSCAFG00000029611.1,ENSCAFT00000010146.2
ENSCAFG00000029550-a-1,ENSCAFG00000029550.1,ENSCAFT00000044613.1
ENSCAFG00000006275-a-3,ENSCAFG00000006275.3,ENSCAFT00000010150.3
ENSCAFG00000000211-a-1,ENSCAFG00000000211.1,ENSCAFT00000000334.1
ENSCAFG00000006288-a-1,ENSCAFG00000006288.1,ENSCAFT00000010178.1
ENSCAFG00000015306-a-2,ENSCAFG00000015306.2,ENSCAFT00000024307.2
cOR52P3,ENSCAFG00000006289.3,ENSCAFT00000010182.3
ENSCAFG00000030293-a-1,ENSCAFG00000030293.1,ENSCAFT00000000248.3
ENSCAFG00000031545-a-1,ENSCAFG00000031545.1,ENSCAFT00000010185.1
ENSCAFG00000029010-a-1,ENSCAFG00000029010.1,ENSCAFT00000000796.3
OR56B1,ENSCAFG00000006295.3,ENSCAFT00000010189.3
ENSCAFG00000024508-a-2,ENSCAFG00000024508.2,ENSCAFT00000012647.3
ENSCAFG00000006296-a-1,ENSCAFG00000006296.1,ENSCAFT00000010191.1
ENSCAFG00000032361-a-1,ENSCAFG00000032361.1,ENSCAFT00000049455.1
ENSCAFG00000032254-a-1,ENSCAFG00000032254.1,ENSCAFT00000010199.2
ENSCAFG00000015452-a-3,ENSCAFG00000015452.3,ENSCAFT00000024509.3
OR52N1,ENSCAFG00000006313.3,ENSCAFT00000010210.3
ENSCAFG00000032444-a-1,ENSCAFG00000032444.1,ENSCAFT00000038152.2
ENSCAFG00000006316-a-3,ENSCAFG00000006316.3,ENSCAFT00000010216.3
ENSCAFG00000030009-a-1,ENSCAFG00000030009.1,ENSCAFT00000038175.2
cOR52N9,ENSCAFG00000006317.3,ENSCAFT00000010218.3
ENSCAFG00000024837-a-2,ENSCAFG00000024837.2,ENSCAFT00000038398.2
OR52N2,ENSCAFG00000006321.3,ENSCAFT00000010223.3
ENSCAFG00000000576-a-2,ENSCAFG00000000576.2,ENSCAFT00000000889.2
ENSCAFG00000006328-a-3,ENSCAFG00000006328.3,ENSCAFT00000010230.3
CTXN3,ENSCAFG00000000623.3,ENSCAFT00000000960.3
ENSCAFG00000029205-a-1,ENSCAFG00000029205.1,ENSCAFT00000044014.1
ENSCAFG00000031481-a-1,ENSCAFG00000031481.1,ENSCAFT00000037823.2
ENSCAFG00000031086-a-1,ENSCAFG00000031086.1,ENSCAFT00000047232.1
ENSCAFG00000030656-a-1,ENSCAFG00000030656.1,ENSCAFT00000046544.1
ENSCAFG00000029113-a-1,ENSCAFG00000029113.1,ENSCAFT00000043854.1
ENSCAFG00000024431-a-1,ENSCAFG00000024431.1,ENSCAFT00000037730.1
C5orf24,ENSCAFG00000025012.2,ENSCAFT00000038726.2
OR52E5,ENSCAFG00000006324.3,ENSCAFT00000010229.3
TIFAB,ENSCAFG00000001081.3,ENSCAFT00000001649.3
COR56A6,ENSCAFG00000029407.1,ENSCAFT00000039718.2
NEUROG1,ENSCAFG00000001083.3,ENSCAFT00000001650.3
ENSCAFG00000006341-a-2,ENSCAFG00000006341.2,ENSCAFT00000010247.2
ENSCAFG00000031297-a-1,ENSCAFG00000031297.1,ENSCAFT00000010250.3
HNRNPA0,ENSCAFG00000001132.4,ENSCAFT00000001730.4
OR56A1,ENSCAFG00000006352.2,ENSCAFT00000010268.2
ENSCAFG00000028744-a-1,ENSCAFG00000028744.1,ENSCAFT00000037820.2
ENSCAFG00000006355-a-2,ENSCAFG00000006355.2,ENSCAFT00000010269.2
ENSCAFG00000030282-a-1,ENSCAFG00000030282.1,ENSCAFT00000045901.1
ENSCAFG00000030797-a-1,ENSCAFG00000030797.1,ENSCAFT00000010272.3
ENSCAFG00000032301-a-1,ENSCAFG00000032301.1,ENSCAFT00000049346.1
ENSCAFG00000006363-a-2,ENSCAFG00000006363.2,ENSCAFT00000010273.2
ENSCAFG00000032537-a-1,ENSCAFG00000032537.1,ENSCAFT00000037808.2
OR52B2,ENSCAFG00000006366.3,ENSCAFT00000039033.2
FTH1,ENSCAFG00000015901.3,ENSCAFT00000025200.3
OR52W1,ENSCAFG00000006368.3,ENSCAFT00000010283.3
ENSCAFG00000001608-a-2,ENSCAFG00000001608.2,ENSCAFT00000002523.2
ENSCAFG00000006595-a-3,ENSCAFG00000006595.3,ENSCAFT00000010650.3
ENSCAFG00000030992-a-1,ENSCAFG00000030992.1,ENSCAFT00000047086.1
ENSCAFG00000029683-a-1,ENSCAFG00000029683.1,ENSCAFT00000044871.1
LINGO2,ENSCAFG00000001727.3,ENSCAFT00000002705.3
ENSCAFG00000031093-a-1,ENSCAFG00000031093.1,ENSCAFT00000037667.1
TMEM215,ENSCAFG00000001810.1,ENSCAFT00000002843.1
ENSCAFG00000031240-a-1,ENSCAFG00000031240.1,ENSCAFT00000010693.3
MYORG,ENSCAFG00000031154.1,ENSCAFT00000047362.1
ENSCAFG00000006641-a-3,ENSCAFG00000006641.3,ENSCAFT00000010707.3
OR6A2,ENSCAFG00000006654.3,ENSCAFT00000010720.3
ENSCAFG00000001921-a-2,ENSCAFG00000001921.2,ENSCAFT00000003037.2
ENSCAFG00000030532-a-1,ENSCAFG00000030532.1,ENSCAFT00000046316.1
ENSCAFG00000020055-a-2,ENSCAFG00000020055.2,ENSCAFT00000031908.2
ENSCAFG00000031407-a-1,ENSCAFG00000031407.1,ENSCAFT00000047769.1
ENSCAFG00000030957-a-1,ENSCAFG00000030957.1,ENSCAFT00000047032.1
OR10A4,ENSCAFG00000006662.3,ENSCAFT00000010728.3
ENSCAFG00000018740-a-2,ENSCAFG00000018740.2,ENSCAFT00000029744.2
ENSCAFG00000032022-a-1,ENSCAFG00000032022.1,ENSCAFT00000038615.2
ENSCAFG00000030046-a-1,ENSCAFG00000030046.1,ENSCAFT00000045516.1
ENSCAFG00000029930-a-1,ENSCAFG00000029930.1,ENSCAFT00000039422.2
ENSCAFG00000030678-a-1,ENSCAFG00000030678.1,ENSCAFT00000036680.2
OR2D3,ENSCAFG00000030563.1,ENSCAFT00000046372.1
ENSCAFG00000032065-a-1,ENSCAFG00000032065.1,ENSCAFT00000048923.1
ENSCAFG00000030869-a-1,ENSCAFG00000030869.1,ENSCAFT00000046882.1
ENSCAFG00000006817-a-3,ENSCAFG00000006817.3,ENSCAFT00000037389.2
TAS2R41,ENSCAFG00000024759.2,ENSCAFT00000005679.3
TAS2R40,ENSCAFG00000024884.2,ENSCAFT00000038481.2
TAS2R39,ENSCAFG00000003540.3,ENSCAFT00000005676.3
ENSCAFG00000003650-a-3,ENSCAFG00000003650.3,ENSCAFT00000005870.3
OR6V1,ENSCAFG00000003654.3,ENSCAFT00000005874.3
TAS2R38,ENSCAFG00000003856.3,ENSCAFT00000006202.3
ENSCAFG00000003655-a-3,ENSCAFG00000003655.3,ENSCAFT00000005875.3
ENSCAFG00000003876-a-3,ENSCAFG00000003876.3,ENSCAFT00000006234.3
TAS2R5,ENSCAFG00000003883.2,ENSCAFT00000037562.1
TAS2R3,ENSCAFG00000024740.2,ENSCAFT00000006245.3
ENSCAFG00000031200-a-1,ENSCAFG00000031200.1,ENSCAFT00000047429.1
CHRM2,ENSCAFG00000003363.3,ENSCAFT00000005392.3
ENSCAFG00000031012-a-1,ENSCAFG00000031012.1,ENSCAFT00000047113.1
ENSCAFG00000003207-a-3,ENSCAFG00000003207.3,ENSCAFT00000005152.3
TMEM140,ENSCAFG00000003179.2,ENSCAFT00000005116.2
ENSCAFG00000015396-a-3,ENSCAFG00000015396.3,ENSCAFT00000024420.3
ENSCAFG00000003164-a-3,ENSCAFG00000003164.3,ENSCAFT00000005088.3
ZNF672,ENSCAFG00000003152.4,ENSCAFT00000005069.4
ENSCAFG00000004353-a-3,ENSCAFG00000004353.3,ENSCAFT00000006984.3
ENSCAFG00000030393-a-1,ENSCAFG00000030393.1,ENSCAFT00000046048.1
CCT8L2,ENSCAFG00000004961.3,ENSCAFT00000007969.3
ENSCAFG00000005001-a-1,ENSCAFG00000005001.1,ENSCAFT00000008036.1
ENSCAFG00000029350-a-1,ENSCAFG00000029350.1,ENSCAFT00000044263.1
ENSCAFG00000032200-a-1,ENSCAFG00000032200.1,ENSCAFT00000049151.1
ENSCAFG00000029059-a-1,ENSCAFG00000029059.1,ENSCAFT00000043760.1
TCIM,ENSCAFG00000005747.2,ENSCAFT00000009248.2
ENSCAFG00000005828-a-3,ENSCAFG00000005828.3,ENSCAFT00000009398.3
ENSCAFG00000029127-a-1,ENSCAFG00000029127.1,ENSCAFT00000043882.1
ENSCAFG00000030880-a-1,ENSCAFG00000030880.1,ENSCAFT00000046908.1
ENSCAFG00000028458-a-1,ENSCAFG00000028458.1,ENSCAFT00000042745.1
ENSCAFG00000029716-a-1,ENSCAFG00000029716.1,ENSCAFT00000044947.1
ENSCAFG00000031482-a-1,ENSCAFG00000031482.1,ENSCAFT00000047891.1
ENSCAFG00000032135-a-1,ENSCAFG00000032135.1,ENSCAFT00000049044.1
ENSCAFG00000030597-a-1,ENSCAFG00000030597.1,ENSCAFT00000046428.1
ENSCAFG00000008479-a-4,ENSCAFG00000008479.4,ENSCAFT00000013447.4
ENSCAFG00000030266-a-1,ENSCAFG00000030266.1,ENSCAFT00000039099.2
ENSCAFG00000030450-a-1,ENSCAFG00000030450.1,ENSCAFT00000013563.3
ENSCAFG00000029429-a-1,ENSCAFG00000029429.1,ENSCAFT00000038090.2
ENSCAFG00000000377-a-1,ENSCAFG00000000377.1,ENSCAFT00000000591.1
ENSCAFG00000000447-a-3,ENSCAFG00000000447.3,ENSCAFT00000000709.3
HSPA1L,ENSCAFG00000000639.2,ENSCAFT00000000983.2
ENSCAFG00000031421-a-1,ENSCAFG00000031421.1,ENSCAFT00000047782.1
HSP70,ENSCAFG00000000641.3,ENSCAFT00000000986.3
ZBTB12,ENSCAFG00000000674.3,ENSCAFT00000001042.3
ENSCAFG00000029791-a-1,ENSCAFG00000029791.1,ENSCAFT00000045090.1
