gene_name,gene_ensembl_ID,iso_ensembl_ID
ENSMLUG00000029690-a-1,ENSMLUG00000029690.1,ENSMLUT00000027040.1
ENSMLUG00000026728-a-1,ENSMLUG00000026728.1,ENSMLUT00000030196.1
ENSMLUG00000023866-a-1,ENSMLUG00000023866.1,ENSMLUT00000001598.2
ENSMLUG00000007195-a-2,ENSMLUG00000007195.2,ENSMLUT00000007188.2
ENSMLUG00000012025-a-2,ENSMLUG00000012025.2,ENSMLUT00000012029.2
ENSMLUG00000030168-a-1,ENSMLUG00000030168.1,ENSMLUT00000028212.1
C3orf18,ENSMLUG00000012349.2,ENSMLUT00000012344.2
TRAPPC9,ENSMLUG00000008390.2,ENSMLUT00000008418.2
CHRAC1,ENSMLUG00000027849.1,ENSMLUT00000022179.1
ENSMLUG00000004552-a-2,ENSMLUG00000004552.2,ENSMLUT00000004555.2
ENSMLUG00000025967-a-1,ENSMLUG00000025967.1,ENSMLUT00000031273.1
ABL1,ENSMLUG00000008799.2,ENSMLUT00000008799.2
ENSMLUG00000004831-a-2,ENSMLUG00000004831.2,ENSMLUT00000004838.2
EXOSC2,ENSMLUG00000008776.2,ENSMLUT00000008779.2
TNFRSF4,ENSMLUG00000006419.2,ENSMLUT00000006414.2
PRDM12,ENSMLUG00000012368.2,ENSMLUT00000012372.2
FUBP3,ENSMLUG00000008743.2,ENSMLUT00000008761.2
ENSMLUG00000007254-a-2,ENSMLUG00000007254.2,ENSMLUT00000007254.2
ENSMLUG00000024077-a-1,ENSMLUG00000024077.1,ENSMLUT00000024832.1
ENSMLUG00000027561-a-1,ENSMLUG00000027561.1,ENSMLUT00000029671.1
ENSMLUG00000017508-a-2,ENSMLUG00000017508.2,ENSMLUT00000017510.2
ENSMLUG00000029228-a-1,ENSMLUG00000029228.1,ENSMLUT00000024206.1
ENSMLUG00000002532-a-2,ENSMLUG00000002532.2,ENSMLUT00000002531.2
ENSMLUG00000027524-a-1,ENSMLUG00000027524.1,ENSMLUT00000025998.1
ENSMLUG00000012415-a-2,ENSMLUG00000012415.2,ENSMLUT00000012420.2
ENSMLUG00000009592-a-2,ENSMLUG00000009592.2,ENSMLUT00000009596.2
ENSMLUG00000008373-a-2,ENSMLUG00000008373.2,ENSMLUT00000008358.2
PROZ,ENSMLUG00000026284.1,ENSMLUT00000027329.1
ENSMLUG00000012348-a-2,ENSMLUG00000012348.2,ENSMLUT00000012350.2
ENSMLUG00000004616-a-2,ENSMLUG00000004616.2,ENSMLUT00000004620.2
ENSMLUG00000026739-a-1,ENSMLUG00000026739.1,ENSMLUT00000027048.1
ENSMLUG00000022359-a-1,ENSMLUG00000022359.1,ENSMLUT00000030777.1
ENSMLUG00000002542-a-2,ENSMLUG00000002542.2,ENSMLUT00000002548.2
ENSMLUG00000006066-a-2,ENSMLUG00000006066.2,ENSMLUT00000006066.2
ZNF277,ENSMLUG00000002648.2,ENSMLUT00000002651.2
CUL4A,ENSMLUG00000002556.2,ENSMLUT00000002564.2
ENSMLUG00000028131-a-1,ENSMLUG00000028131.1,ENSMLUT00000022590.1
ENSMLUG00000013029-a-2,ENSMLUG00000013029.2,ENSMLUT00000013029.2
