gene_name,gene_ensembl_ID,iso_ensembl_ID
mt-Cytb,ENSMUSG00000064370.1,ENSMUST00000082421.1
mt-Nd6,ENSMUSG00000064368.1,ENSMUST00000082419.1
mt-Nd5,ENSMUSG00000064367.1,ENSMUST00000082418.1
mt-Nd4,ENSMUSG00000064363.1,ENSMUST00000082414.1
mt-Nd4l,ENSMUSG00000065947.3,ENSMUST00000084013.1
mt-Nd3,ENSMUSG00000064360.1,ENSMUST00000082411.1
mt-Co3,ENSMUSG00000064358.1,ENSMUST00000082409.1
mt-Atp6,ENSMUSG00000064357.1,ENSMUST00000082408.1
mt-Atp8,ENSMUSG00000064356.3,ENSMUST00000082407.1
mt-Co2,ENSMUSG00000064354.1,ENSMUST00000082405.1
mt-Co1,ENSMUSG00000064351.1,ENSMUST00000082402.1
mt-Nd2,ENSMUSG00000064345.1,ENSMUST00000082396.1
mt-Nd1,ENSMUSG00000064341.1,ENSMUST00000082392.1
Cdk4,ENSMUSG00000006728.12,ENSMUST00000125682.1
Txndc8,ENSMUSG00000038709.14,ENSMUST00000139256.1
Slco1b2,ENSMUSG00000030236.10,ENSMUST00000203597.1
Padi6,ENSMUSG00000040935.12,ENSMUST00000130267.1
Pxylp1,ENSMUSG00000043587.15,ENSMUST00000124923.1
Pacsin1,ENSMUSG00000040276.14,ENSMUST00000097360.2
Dgka,ENSMUSG00000025357.8,ENSMUST00000219834.1
Uba5,ENSMUSG00000032557.12,ENSMUST00000214222.1
Rapgef6,ENSMUSG00000037533.19,ENSMUST00000136494.1
Atp11a,ENSMUSG00000031441.15,ENSMUST00000131804.1
Cyp4a31,ENSMUSG00000028712.12,ENSMUST00000030486.14
Nr6a1,ENSMUSG00000063972.13,ENSMUST00000076275.10
Brat1,ENSMUSG00000000148.17,ENSMUST00000100505.2
Gm8906,ENSMUSG00000095296.7,ENSMUST00000179375.1
Zyx,ENSMUSG00000029860.16,ENSMUST00000203849.1
Fam216a,ENSMUSG00000029463.5,ENSMUST00000031419.5
Magel2,ENSMUSG00000056972.6,ENSMUST00000080403.6
Fam46d,ENSMUSG00000073007.10,ENSMUST00000167154.1
Mxd4,ENSMUSG00000037235.13,ENSMUST00000119171.1
