gene_name,gene_ensembl_ID,iso_ensembl_ID
TARM1,ENSG00000277178.1,ENST00000620707.1
TFPT,ENSG00000273833.1,ENST00000614788.1
TCEAL9,ENSG00000185222.8,ENST00000372656.4
TSEN34,ENSG00000273896.4,ENST00000617149.1
AL662852-a-6,ENSG00000274063.1,ENST00000616686.1
AC012314-a-8,ENSG00000276220.1,ENST00000612327.1
AC007325-a-2,ENSG00000277196.4,ENST00000615165.1
OSCAR,ENSG00000273511.4,ENST00000612543.1
C20orf202,ENSG00000215595.1,ENST00000400633.1
VPS53,ENSG00000283883.1,ENST00000639488.1
SCGB1C2,ENSG00000277730.2,ENST00000613221.2
VPS13B,ENSG00000132549.18,ENST00000521559.1
STRIP2,ENSG00000128578.9,ENST00000435494.2
ZFAND1,ENSG00000104231.10,ENST00000520076.5
ABCB10,ENSG00000135776.4,ENST00000344517.4
B3GAT1,ENSG00000109956.12,ENST00000392580.5
PCNX3,ENSG00000197136.4,ENST00000355703.3
HNRNPL,ENSG00000282947.1,ENST00000635025.1
AHCYL2,ENSG00000158467.16,ENST00000466924.1
ECH1,ENSG00000282853.1,ENST00000634309.1
TMEM116,ENSG00000198270.12,ENST00000550233.1
C11orf84,ENSG00000168005.8,ENST00000535820.1
IGSF9B,ENSG00000080854.14,ENST00000321016.12
SLC12A8,ENSG00000221955.10,ENST00000462437.1
NTM,ENSG00000182667.14,ENST00000427481.6
ZNF678,ENSG00000181450.17,ENST00000397097.4
NIPAL2,ENSG00000104361.9,ENST00000341166.3
ST14,ENSG00000149418.10,ENST00000278742.5
EPRS,ENSG00000136628.17,ENST00000477030.2
LGALS4,ENSG00000282992.1,ENST00000634874.1
RAB1B,ENSG00000174903.15,ENST00000527397.1
LYST,ENSG00000143669.13,ENST00000389794.7
KCNJ5,ENSG00000120457.11,ENST00000533599.1
FAM196B,ENSG00000204767.3,ENST00000377365.3
POT1,ENSG00000128513.14,ENST00000393329.5
MAPKAPK5,ENSG00000089022.13,ENST00000549875.1
FAM153B,ENSG00000182230.11,ENST00000611539.4
TMEM229A,ENSG00000234224.2,ENST00000455783.2
LIMD2,ENSG00000136490.8,ENST00000584645.1
RPL22L1,ENSG00000163584.17,ENST00000463836.1
AP4M1,ENSG00000221838.9,ENST00000445295.1
MYRF,ENSG00000124920.13,ENST00000389602.4
HOXB13,ENSG00000159184.7,ENST00000290295.7
MAD1L1,ENSG00000002822.15,ENST00000265854.11
EFCAB1,ENSG00000034239.10,ENST00000433756.1
ATPAF2,ENSG00000171953.15,ENST00000444058.1
GABRA6,ENSG00000145863.10,ENST00000523691.1
RCC1L,ENSG00000274523.4,ENST00000614461.4
TMSB15B,ENSG00000158427.14,ENST00000540220.5
SELPLG,ENSG00000110876.9,ENST00000388962.4
PPT2-EGFL8,ENSG00000258388.7,ENST00000421600.2
CEACAM3,ENSG00000170956.16,ENST00000630848.2
RPL8,ENSG00000161016.17,ENST00000532702.1
GGPS1,ENSG00000152904.11,ENST00000358966.6
SLC15A3,ENSG00000110446.10,ENST00000538739.1
OR2T35,ENSG00000177151.3,ENST00000317450.3
ADAMDEC1,ENSG00000134028.14,ENST00000520193.1
OTUB2,ENSG00000277276.3,ENST00000628711.1
CLMP,ENSG00000166250.11,ENST00000448775.3
RIBC2,ENSG00000128408.8,ENST00000614167.1
RPL5,ENSG00000122406.12,ENST00000315741.5
PCDHGA7,ENSG00000253537.2,ENST00000518325.1
ZKSCAN1,ENSG00000106261.16,ENST00000535170.5
CRTAM,ENSG00000109943.8,ENST00000533709.1
OR2L13,ENSG00000196071.4,ENST00000358120.2
LINC00672,ENSG00000263874.2,ENST00000583195.2
CEACAM5,ENSG00000105388.15,ENST00000616453.1
ARHGEF35,ENSG00000213214.4,ENST00000378115.2
PRLR,ENSG00000113494.16,ENST00000619676.4
RECQL4,ENSG00000160957.12,ENST00000534538.1
FJX1,ENSG00000179431.6,ENST00000317811.5
GLRA4,ENSG00000188828.11,ENST00000436213.5
TMEM31,ENSG00000179363.6,ENST00000319560.6
EIF5B,ENSG00000158417.10,ENST00000617677.1
LIPT1,ENSG00000144182.16,ENST00000393471.2
