gene_name,gene_ensembl_ID,iso_ensembl_ID
DPP7,ENSBTAG00000047958.1,ENSBTAT00000064726.1
SH3YL1,ENSBTAG00000020495.5,ENSBTAT00000030504.3
MYT1L,ENSBTAG00000003540.5,ENSBTAT00000004603.5
ENSBTAG00000035144-a-2,ENSBTAG00000035144.2,ENSBTAT00000066297.1
ENSBTAG00000038537-a-2,ENSBTAG00000038537.2,ENSBTAT00000054517.2
ENSBTAG00000038364-a-2,ENSBTAG00000038364.2,ENSBTAT00000052281.2
ENSBTAG00000000617-a-5,ENSBTAG00000000617.5,ENSBTAT00000056197.2
ENSBTAG00000047333-a-1,ENSBTAG00000047333.1,ENSBTAT00000052768.1
PANK3,ENSBTAG00000011895.3,ENSBTAT00000015780.3
SLIT3,ENSBTAG00000017746.5,ENSBTAT00000049620.3
RAB4A,ENSBTAG00000018857.5,ENSBTAT00000049768.3
ENSBTAG00000008584-a-5,ENSBTAG00000008584.5,ENSBTAT00000011319.5
CCSAP,ENSBTAG00000000079.5,ENSBTAT00000064890.1
ENSBTAG00000047124-a-1,ENSBTAG00000047124.1,ENSBTAT00000064212.1
ARHGEF10,ENSBTAG00000008585.5,ENSBTAT00000011327.5
ACTA1,ENSBTAG00000046332.1,ENSBTAT00000006534.2
NUP133,ENSBTAG00000004965.5,ENSBTAT00000006535.4
ABCB10,ENSBTAG00000017053.5,ENSBTAT00000022677.5
SPDL1,ENSBTAG00000008180.4,ENSBTAT00000010757.4
KBTBD11,ENSBTAG00000018284.4,ENSBTAT00000024334.4
MYOM2,ENSBTAG00000009387.5,ENSBTAT00000012351.5
DOCK2,ENSBTAG00000014612.5,ENSBTAT00000019460.5
ENSBTAG00000034225-a-3,ENSBTAG00000034225.3,ENSBTAT00000048510.3
URB2,ENSBTAG00000010180.4,ENSBTAT00000013435.4
GALNT2,ENSBTAG00000004870.5,ENSBTAT00000006404.5
PGBD5,ENSBTAG00000027205.4,ENSBTAT00000039008.4
ENSBTAG00000048153-a-1,ENSBTAG00000048153.1,ENSBTAT00000066134.1
RHOU,ENSBTAG00000018691.5,ENSBTAT00000024876.5
ENSBTAG00000039837-a-2,ENSBTAG00000039837.2,ENSBTAT00000053437.1
ENSBTAG00000038418-a-2,ENSBTAG00000038418.2,ENSBTAT00000055903.2
ENSBTAG00000004217-a-5,ENSBTAG00000004217.5,ENSBTAT00000005524.5
ENSBTAG00000026065-a-3,ENSBTAG00000026065.3,ENSBTAT00000036964.3
TSNAX,ENSBTAG00000047434.1,ENSBTAT00000063092.1
ENSBTAG00000045608-a-1,ENSBTAG00000045608.1,ENSBTAT00000063767.1
